VT;VU;AP;DPXV;DSBM;DSIG;DCTC;DABM;ND;NB;NS;NG;MO;PSN;CH;PC;BRO;COORD_E;COORD_N
260000;6500;40;5446;3702;2013;2291;430;1;1;0;1;SM;N;S;B;Trindade;744373;6946554
290004;4394;66;5665;3921;1936;2214;912;3;1;0;1;N;N;N;B;Trindade;744057;6946153
694944;4572;152;6276;4532;1221;1797;907;2;2;1;1;N;N;S;M;Trindade;744536;6946076
1299980;11818;110;1836;1050;6937;7196;668;3;2;1;2;SM;N;N;A;Centro;742431;6945863
535040;5632;95;2293;2292;8170;8429;720;2;3;1;0;MO;N;S;B;Centro;741257;6945309
879954;8627;102;1999;181;6159;6418;113;3;2;1;1;SM;N;S;A;Centro;742421;6946540
849968;7589;112;1511;1285;7160;7419;598;3;3;1;1;MO;S;S;A;Centro;742170;6945826
457878;6834;67;818;1976;7572;4808;1060;2;3;2;1;N;N;N;M;Centro;742254;6945360
441000;7350;60;1198;1271;7159;7418;379;2;1;0;0;MO;N;S;M;Centro;741620;6945842
748974;8709;86;1767;981;6868;7127;583;1;2;1;1;SM;S;S;A;Centro;742345;6945919
849873;7521;113;1356;1480;7433;7692;644;3;3;1;2;SM;N;N;B;Centro;742032;6945719
1350079;7459;181;1848;1062;6949;7208;478;4;1;1;2;SM;N;N;A;Centro;742308;6946017
1290000;10000;129;2499;1791;7669;7928;99;3;3;1;2;MO;N;N;M;Centro;740816;6945883
779960;5270;148;2092;618;6505;6764;210;3;2;1;1;N;N;N;M;Centro;742293;6946303
1180015;10261;115;3920;1855;7733;7992;389;3;3;1;1;MO;S;S;A;Centro;741100;6945670
1049997;9633;109;1210;1992;7880;8139;604;3;3;1;2;SM;N;N;M;Centro;741968;6945735
1400000;17500;80;2381;2380;8258;8517;726;3;3;3;2;N;S;S;A;Centro;741501;6945448
770032;11324;68;3111;2404;8282;8541;394;2;2;1;1;N;N;N;M;Centro;740953;6945523
2799930;14070;199;1752;1045;6920;7179;100;3;4;3;3;MO;S;S;M;Centro;741540;6946110
889900;8090;110;1958;606;6493;6752;349;3;3;1;2;SM;N;N;M;Centro;742383;6946193
613149;10757;57;2156;412;6099;6358;261;2;1;0;1;N;S;N;A;Agronomica;742617;6946629
799000;8500;94;4572;2828;2529;3700;192;3;2;1;2;N;N;S;M;Agronomica;744074;6947309
689986;8734;79;2933;1189;5321;5580;198;2;3;1;2;SM;S;S;M;Agronomica;742739;6947285
1136956;10726;106;2987;1243;5376;5635;202;3;2;1;2;N;S;S;A;Agronomica;742812;6947350
950053;8879;107;4209;2465;3216;4387;407;3;3;3;2;N;S;S;M;Agronomica;743518;6947383
2300100;10455;220;2109;365;6051;6310;124;4;4;2;2;SM;N;N;A;Agronomica;742488;6946684
375013;4747;79;5807;5593;1920;843;1775;2;1;0;1;N;N;S;B;Trindade;744742;6945231
680021;5191;131;6795;5051;2333;1256;1294;2;2;1;2;MO;N;N;M;Trindade;744589;6945695
679952;6071;112;4302;5755;1992;915;1771;3;2;2;2;SM;N;S;M;Trindade;744521;6945211
684886;9382;73;6621;4877;1566;1844;812;2;2;1;1;MO;N;S;A;Trindade;744289;6946183
329976;4583;72;6882;5138;1827;2105;1079;2;2;0;1;N;N;N;B;Trindade;744125;6945949
989985;10645;93;5181;3437;2412;2539;255;3;2;1;2;SM;S;S;A;Trindade;744262;6946801
350035;4795;73;7043;5299;2546;1469;1361;3;2;0;1;N;N;N;B;Trindade;744825;6945674
619990;7294;88;6504;4760;1449;1727;902;3;2;1;1;SM;N;S;A;Trindade;744400;6946079
875022;10671;82;6316;5605;1366;1352;1630;2;2;1;2;SM;S;S;A;Trindade;745021;6945457
870010;9158;95;6338;5627;1385;1374;1647;4;3;2;2;N;S;N;A;Trindade;744960;6945417
542997;8619;63;6725;4981;1670;1948;718;2;1;1;1;N;N;S;M;Trindade;744290;6946279
650040;5417;120;5106;6521;1790;713;1951;3;3;2;1;SM;N;S;B;Trindade;744472;6945030
